lat,lon,city,state,address,elementary,middle,high,property_url
41.691242,-70.922835,Acushnet,MA,97 Middle Rd,Acushnet,Acushnet,,https://www.realtor.com/realestateandhomes-detail/97-Middle-Rd_Acushnet_MA_02743_M31653-05154
41.680185,-70.90598,Acushnet,MA,55 John St,Acushnet Elementary,Ford Middle School,Apponequet Regl.,https://www.realtor.com/realestateandhomes-detail/55-John-St_Acushnet_MA_02743_M44505-85988
41.685527,-70.911339,Acushnet Center,MA,15 Hiram St,Acushnet Elementary,Ford Middle,"Nbhs, Fhs, Oc",https://www.realtor.com/realestateandhomes-detail/15-Hiram-St_Acushnet_MA_02743_M33795-47057
41.680185,-70.90598,Acushnet Center,MA,55 John St,Acushnet Elementary,Ford Middle School,Apponequet Regl.,https://www.realtor.com/realestateandhomes-detail/55-John-St_Acushnet_MA_02743_M44505-85988
42.624803,-73.122135,Adams,MA,3 West St,Hoosac Valley Elementary,Hoosac Valley,Hoosac Valley,https://www.realtor.com/realestateandhomes-detail/3-West-St_Adams_MA_01220_M46748-44910
42.625422,-73.109792,Adams,MA,1 Richmond Ln,Hoosac Valley Elementary,Hoosac Valley Middle & High School,Hoosac Valley Middle & High School,https://www.realtor.com/realestateandhomes-detail/1-Richmond-Ln_Adams_MA_01220_M38550-57335
42.621027,-73.116107,Adams,MA,32 Summer St,Hoosac Valley Elementary,Hoosac Valley Middle & High School,Hoosac Valley Middle & High School,https://www.realtor.com/realestateandhomes-detail/32-Summer-St_Adams_MA_01220_M38999-04008
42.624803,-73.122135,Adams,MA,3 West St,Hoosac Valley Elementary,Hoosac Valley Middle & High School,Hoosac Valley Middle & High School,https://www.realtor.com/realestateandhomes-detail/3-West-St_Adams_MA_01220_M46748-44910
42.619683,-73.117713,Adams,MA,10 Summer St,Hoosac Valley Elementary,Hoosac Valley Middle & High School,Hoosac Valley Middle & High School,https://www.realtor.com/realestateandhomes-detail/10-Summer-St_Adams_MA_01220_M32166-01464
42.631243,-73.113939,Adams,MA,4 Albert St,Hoosac Valley Elementary,Hoosac Valley Middle & High School,Hoosac Valley Middle & High School,https://www.realtor.com/realestateandhomes-detail/4-Albert-St_Adams_MA_01220_M36398-62261
42.623627,-73.120645,Adams,MA,2 Melrose St,Hoosac Valley Elementary,Hoosac Valley Middle & High School,Hoosac Valley Middle & High School,https://www.realtor.com/realestateandhomes-detail/2-Melrose-St_Adams_MA_01220_M32944-87284
42.619683,-73.117713,Adams,MA,10 Summer St,Hoosac Valley Elementary,Hoosac Valley Middle & High School,Hoosac Valley Middle & High School,https://www.realtor.com/realestateandhomes-detail/10-Summer-St_Adams_MA_01220_M32166-01464
42.620931,-73.115459,Adams,MA,35 Summer St,Hoosac Valley Elementary,Hoosac Valley Middle & High School,Hoosac Valley Middle & High School,https://www.realtor.com/realestateandhomes-detail/35-Summer-St_Adams_MA_01220_M45995-74707
42.604678,-73.141087,Adams,MA,380 West Rd,Hoosac Valley Elementary,Hoosac Valley Middle & High School,Hoosac Valley Middle & High School,https://www.realtor.com/realestateandhomes-detail/380-West-Rd_Adams_MA_01220_M46774-23261
42.631288,-73.104882,Adams,MA,30 Anthony St,Hoosac Valley Elementary,Hoosac Valley Middle & High School,Hoosac Valley Middle & High School,https://www.realtor.com/realestateandhomes-detail/30-Anthony-St_Adams_MA_01220_M31267-53276
42.630759,-73.126278,Adams,MA,4 Water St,Hoosac Valley Elementary,Hoosac Valley Middle & High School,Hoosac Valley Middle & High School,https://www.realtor.com/realestateandhomes-detail/4-Water-St_Adams_MA_01220_M36912-36252
42.627059,-73.121028,Adams,MA,32 Valley St,Hoosac Valley Elementary,Hoosac Valley Middle & High School,Hoosac Valley Middle & High School,https://www.realtor.com/realestateandhomes-detail/32-Valley-St_Adams_MA_01220_M31725-68864
42.621662,-73.079491,Adams,MA,472 and 0 Upper E Hoosac St,Hoosac Valley Elementary,Hoosac Valley Middle & High School,Hoosac Valley Middle & High School,https://www.realtor.com/realestateandhomes-detail/472-and-0-E-Hoosac-St_Adams_MA_01220_M95711-77479
42.605842,-73.096466,Adams,MA,100 Walling Rd,Hoosac Valley Elementary,Hoosac Valley Middle & High School,Hoosac Valley Middle & High School,https://www.realtor.com/realestateandhomes-detail/100-Walling-Rd_Adams_MA_01220_M34681-09646
